id	16	c	n	4	y
i	1	1	1	1	1
you	1	1	1	1	1
we	1	1	1	1	1
this	?	0	0	0	?
this	?	0	0	0	?
this	?	1	0	0	?
this	?	0	1	0	?
this	?	0	0	1	?
this	?	0	0	0	?
this	?	0	0	0	?
that	0	0	0	?	?
that	1	1	1	?	?
that	0	0	0	?	?
that	0	0	0	?	?
what	?	0	0	1	?
what	?	0	1	0	?
what	?	1	0	0	?
what	?	0	0	0	?
what	?	0	0	0	?
who	?	?	0	1	?
who	?	?	1	0	?
who	?	?	0	0	?
who	?	?	0	0	?
not	0	?	0	?	?
not	1	?	0	?	?
not	0	?	1	?	?
not	0	?	0	?	?
not	0	?	0	?	?
not	0	?	0	?	?
all	?	?	1	?	?
all	?	?	0	?	?
all	?	?	0	?	?
all	?	?	0	?	?
all	?	?	0	?	?
all	?	?	0	?	?
all	?	?	0	?	?
all	?	?	0	?	?
many	0	1	0	?	?
many	1	0	0	?	?
many	0	0	0	?	?
many	0	0	0	?	?
many	0	0	1	?	?
many	0	0	0	?	?
one	0	0	0	?	?
one	1	1	1	0	1
one	0	0	0	1	0
one	0	0	0	0	0
two	0	0	0	0	0
two	0	1	0	1	0
two	1	0	1	0	1
two	0	0	0	0	0
two	0	0	0	0	0
big	?	?	?	0	0
big	?	?	?	0	0
big	?	?	?	0	1
big	?	?	?	0	0
big	?	?	?	1	0
big	?	?	?	0	0
big	?	?	?	0	0
big	?	?	?	0	0
big	?	?	?	0	0
big	?	?	?	?	0
long	1	?	0	?	?
long	0	?	1	?	?
long	0	?	0	?	?
long	0	?	0	?	?
long	0	?	0	?	?
long	0	?	0	?	?
small	?	?	0	1	1
small	?	?	0	0	0
small	?	?	1	0	0
small	?	?	0	0	0
small	?	?	0	0	0
small	?	?	0	0	0
small	?	?	0	0	0
woman	1	1	1	0	1
woman	0	0	0	1	0
man	1	1	?	1	1
man	0	0	?	0	0
man	0	0	?	0	0
man	0	0	?	0	0
man	0	0	?	0	0
child	1	0	?	0	0
child	0	1	?	0	1
child	0	0	?	1	0
child	0	0	?	0	0
child	0	0	?	0	0
child	0	0	?	0	0
child	0	0	?	0	0
fish	1	1	0	0	1
fish	0	0	1	1	0
fish	0	0	0	0	0
brid	1	?	0	1	1
brid	0	?	1	0	0
brid	0	?	0	0	0
brid	0	?	0	0	0
brid	0	?	0	0	0
brid	0	?	0	0	0
dog	?	0	0	0	0
dog	?	0	1	0	0
dog	?	1	0	0	1
dog	?	0	0	0	0
dog	?	0	0	0	0
dog	?	0	0	1	0
dog	?	0	0	0	0
dog	?	0	0	0	0
dog	?	0	0	0	0
louse	?	1	0	0	1
louse	?	0	0	0	0
louse	?	0	0	0	0
louse	?	0	0	0	0
louse	?	0	1	1	0
louse	?	0	0	0	0
louse	?	0	0	0	0
tree	0	1	1	1	0
tree	0	0	0	0	0
tree	1	0	0	0	1
